customer_id,store_id,external_customer_id
"a79b1947-aee0-4281-957e-e62185ef2948","e23c2fc3-107c-42bb-abe2-d811795112ec","YEF3RNH09B4H8H8Q834SPDCR8W" 
"402b68fc-9e25-49b3-9e2b-f87f714c7c15","d38747d3-d564-4e2e-a966-220983714531","1A0VQQZQ4EQ6GCG4RHHKYEMYY0" 
"8970461a-3b34-4702-a2c9-9f01cebc516e","a991a245-21d1-41b1-9ef8-c4e45deaf546","E6YJ614834Z8EZFF8MPHPGR0GR" 
"69c26dfb-2555-4e4c-98ef-69146377026a","7b031c44-8c0f-43fc-b490-777b3491c123","88HCS11DB11DK9V95259Q25A58" 
"2fd58b94-12d6-41bd-941e-25d226e9636c","ac4ba8b2-77db-425e-8d01-5e635069138d","DYYP18P0HP7XSJK0XCK67B6S08" 
"5b3d9a9d-2984-4b6c-8ebb-588c98cbaf9a","185108b5-ba4b-401c-8f15-b8d3c13468f9","XGZA4YK4EJXY2HV6TNDNG49YQ8" 
"b420855b-9119-4dee-b93f-5e7adfe76d38","5ba2265e-1256-4506-b120-66996d72df10","H2DAWTZRACV7X1K3CXTF28HC0R" 
"22e9e4f9-79b8-453e-833a-512b72f5c3d9","7b031c44-8c0f-43fc-b490-777b3491c123","1QTBRVPNZW8ZJT70XED5KR14DC" 
"1b563507-b2d6-4e3f-83aa-e41b43ada054","e2e26b6e-fb4c-48a7-951c-e356a89ff046","TXR39RW08HK0R2PV932EHMY56R" 
"323e863e-fb90-4a6c-a423-dff6b2a3bb54","a1a4104b-1fd7-45e9-a7f3-8418ec1ef691","DZS3Y575G8RRV8TTANSQ20SVHG" 
"19e96622-c1da-4b9c-b681-2a4cf8fb99ee","185108b5-ba4b-401c-8f15-b8d3c13468f9","VNEKDV10E2CFPD8P995X65G4X4" 
"0538db23-5c99-4cc5-a7b0-a6f669dfa730","da8eea71-1567-4587-967a-3692c37c4ec8","VCN44973K97QQ6DQBKJM7GCQWR" 
"cef517f9-9776-434e-9db4-331924433d6b","ac4ba8b2-77db-425e-8d01-5e635069138d","1J8XXG0QYB8M5Y2XQB6BARTVDW" 
"9b217e3d-963d-4cc2-8544-b58b1548c03c","7b031c44-8c0f-43fc-b490-777b3491c123","X3MZS7K0J1ETXXR5VF5VNC9Z8M" 
"9875f283-d583-47ef-b3f7-d51aefca8646","91c115c3-1e3d-425c-95aa-9e8057883297","54RVK5ME8BAVGMY0HPK1D0Q104" 
"e38e9146-a0be-4fd0-ae2d-c9e45968002f","d463d2ae-6b8f-4292-a346-865c95c1c6c4","TDYCS6RDFAC99TPXZBKGJ95TTR" 
"82ded9e5-1bb6-471a-be89-570d8a7beb97","ac4ba8b2-77db-425e-8d01-5e635069138d","XRXB5YF7ZHHE7KJCBP2F3BG7CC" 
"9e8a380c-792f-455a-be8f-de9071cecb79","ac4ba8b2-77db-425e-8d01-5e635069138d","3BSV977A5GSWVMKM0MP6HQN1AG" 
"9b994cba-d953-4118-a123-7ed31ccdfbd3","a1a4104b-1fd7-45e9-a7f3-8418ec1ef691","0NRSG9N39WX4R5C49X62GFTVJ0" 
"3b51159c-0036-43e8-b07f-f6dad4ab2516","fcc3adef-b701-4778-9a6b-320783fe1794","KDFVFXNXYA43PZ6P2NCPW8Q18G" 
"b3f1e8ac-7c4d-47aa-b420-a455527d8f98","fcc3adef-b701-4778-9a6b-320783fe1794","D7W94QA7AHVHGCTC7PXRM3CDMG" 
"b5af91fe-eee2-4547-a598-266d2d662584","ac4ba8b2-77db-425e-8d01-5e635069138d","PFC3PD15M17H1N0P9SSFPCR4WC" 
"2ba21fca-fe76-42a0-8256-400a62a172e5","617d25bc-c212-4328-8dae-cb221a81fb94","RE0WRF24C11C3D3AKTWEAJTQTW" 
"d6e03791-aae5-41dc-8fc4-dc7c0d5e62f4","7b031c44-8c0f-43fc-b490-777b3491c123","XEKCK71NYDJ0MQX0M70VSVJRQ8" 
"b174c0ec-fb77-432f-910e-6d7262b0ce43","ac4ba8b2-77db-425e-8d01-5e635069138d","JZSDA3S6XNNC3J0HZWXTBM6CNC" 
"daae85d7-f056-42e3-a43e-6349787edb7b","fd221a5f-1150-411e-ac34-3f9f4ea04925","S5G1VXC2A30T3E8RHHKPGEZNBC" 
"5d7178b4-621b-4152-95b3-df5f52365b62","ac4ba8b2-77db-425e-8d01-5e635069138d","AYWQV2434KNZAE5AT9MQB0H58W" 
"f055a01c-0246-4e4e-a793-a82c8bbd3604","979693a8-cc23-4ade-b337-cc76b837b8bc","A4CZQQ4T2159V49C4S6YSDWT70" 
"11d0faf6-23c1-488c-8005-44831909106f","ac4ba8b2-77db-425e-8d01-5e635069138d","YQ1HFSCXX52YQE93KPXCXY2H20" 
