store_id,external_store_id,name,active,created_at,updated_at,delivery_fee,platform_fee,consumer_fee,pre_sale
"39d9810a-6142-4974-9cb0-1369f2a2b307","CSHP3K05HYDW2","Sheri's Coffee House",true,"2025-01-09T18:15:13.898Z","2025-01-31T17:19:48.448Z",{"title":"Delivery fee";"enabled_fee":false;"enabled_waiver":false},{"fee":25;"type":"amount";"enabled_fee":true;"delivery_app_fee_in_cents":125},{"pickup":{"fee":25;"type":"amount";"enabled_fee":true;"enabled_waiver":false};"delivery":{"fee":250;"type":"amount";"enabled_fee":true;"enabled_waiver":false}},{"active":false} 
"85dcd9e7-90fb-4750-89e8-72b01c1def23","H57JMY8TATTA7","Peasant Pies Inc.",true,"2025-01-31T17:45:00.744Z","2025-01-31T19:52:53.036Z",{"fee":0;"title":null;"waiver":0;"enabled_fee":false;"enabled_waiver":false},{"fee":50;"type":"amount";"enabled_fee":true;"delivery_app_fee_in_cents":150},{"pickup":{"fee":50;"type":"amount";"enabled_fee":true;"enabled_waiver":false};"delivery":{"fee":150;"type":"amount";"enabled_fee":true;"enabled_waiver":false}},{"active":false} 
"b4172039-01e3-487c-a19a-fa2ae4636824","CQ48ZDK5J5MGN","Frelard Tamales & El Sueñito Brewing Company",true,"2025-01-17T19:20:59.697Z","2025-01-21T15:59:48.772Z",{"fee":0;"title":null;"waiver":0;"enabled_fee":false;"enabled_waiver":false},{"fee":25;"type":"amount";"enabled_fee":true;"delivery_app_fee_in_cents":125},{"pickup":{"fee":25;"type":"amount";"enabled_fee":true;"enabled_waiver":false};"delivery":{"fee":125;"type":"amount";"enabled_fee":true;"enabled_waiver":false}},{"active":false} 
"ef4d8692-1c98-454d-8c12-df0f0f661a54","YAADMC1TZBPPD","MUGS Coffee Roasters",true,"2025-01-18T00:22:41.828Z","2025-01-18T00:22:41.828Z",{"fee":0;"title":null;"waiver":0;"enabled_fee":false;"enabled_waiver":false},{"fee":25;"type":"amount";"enabled_fee":true},null,{"active":false} 
"3d83508d-d4dc-44a1-91bd-7944ad93c6e3","B4JN7R85W33R8","Gathering Grounds",true,"2025-01-09T11:08:36.420Z","2025-01-09T11:08:36.420Z",{"fee":0;"title":null;"waiver":0;"enabled_fee":false;"enabled_waiver":false},{"fee":25;"type":"amount";"enabled_fee":true},null,{"active":false} 
"4a230e96-f839-495a-b83f-bd0ac7e38efd","MLNJBNV7H9153","Ebony and Ivory Coffee",true,"2025-01-02T22:55:09.469Z","2025-02-01T00:50:04.597Z",{"fee":0;"title":null;"waiver":0;"enabled_fee":false;"enabled_waiver":false},{"fee":25;"type":"amount";"enabled_fee":true;"delivery_app_fee_in_cents":125},{"pickup":{"fee":25;"type":"amount";"enabled_fee":true;"enabled_waiver":false};"delivery":{"fee":125;"type":"amount";"enabled_fee":true;"enabled_waiver":false}},{"active":false} 
"0738258d-652b-47f2-81e0-49e055d01144","2G2P7XY4TCMWK","VALI Coffee",true,"2025-01-20T16:29:03.791Z","2025-01-31T22:28:54.926Z",{"title":"Delivery Fee";"waiver":7000;"enabled_fee":false;"enabled_waiver":true;"minimum_delivery_amount_in_cents":2500},{"fee":50;"type":"amount";"enabled_fee":true;"delivery_app_fee_in_cents":150},{"pickup":{"fee":50;"type":"amount";"waiver":1000;"enabled_fee":true;"enabled_waiver":true};"delivery":{"fee":150;"type":"amount";"waiver":5000;"enabled_fee":true;"enabled_waiver":true}},{"active":false} 
"617d25bc-c212-4328-8dae-cb221a81fb94","ML9GSTYN55GQG","Açaí, Por Favor",true,"2025-01-24T00:05:31.967Z","2025-01-29T17:59:42.904Z",{"fee":500;"title":"Delivery fee";"enabled_fee":false;"enabled_waiver":false},{"fee":25;"type":"amount";"enabled_fee":true;"delivery_app_fee_in_cents":125},{"pickup":{"fee":25;"type":"amount";"enabled_fee":true;"enabled_waiver":false};"delivery":{"fee":125;"type":"amount";"enabled_fee":true;"enabled_waiver":false}},{"active":false} 
"1e551b7a-0fd1-4c65-9b74-59435e94634f","MLDGZNW8FTXA1","Blue Umbrella Bakery",true,"2025-01-05T01:01:56.943Z","2025-01-05T21:22:37.880Z",{"fee":0;"title":null;"waiver":0;"enabled_fee":false;"enabled_waiver":false},{"fee":25;"type":"amount";"enabled_fee":true},null,{"active":false} 
"bc8bbc7a-3fe5-4df5-965c-1b43d373d65c","ML7FHAFPKMFV6","Collective Coffee",true,"2025-01-13T18:32:54.254Z","2025-01-13T21:30:33.701Z",{"fee":0;"title":null;"waiver":0;"enabled_fee":false;"enabled_waiver":false},{"fee":25;"type":"amount";"enabled_fee":true},null,{"active":false} 
"e6d2642a-dd2e-4d9d-ae05-94d60a3567a0","ML4EFC04PEV03","La hacienda Taquerias",true,"2025-01-18T19:44:42.730Z","2025-01-18T21:14:52.601Z",{"fee":0;"title":null;"waiver":0;"enabled_fee":false;"enabled_waiver":false},{"fee":25;"type":"amount";"enabled_fee":true},null,{"active":false} 
"0b6bf9c3-d7fb-4826-bf7f-0b1b0f2c6df2","ML7PBNGEDA0HT","Oatley Coffee",true,"2025-01-25T11:11:13.876Z","2025-01-29T19:22:22.402Z",{"fee":0;"title":null;"waiver":0;"enabled_fee":false;"enabled_waiver":false},{"fee":50;"type":"amount";"enabled_fee":true;"delivery_app_fee_in_cents":150},{"pickup":{"fee":50;"type":"amount";"enabled_fee":true;"enabled_waiver":false};"delivery":{"fee":150;"type":"amount";"enabled_fee":true;"enabled_waiver":false}},{"active":false} 
"f74f5867-5fc6-40e3-ad91-588bfb0190c6","ML9T4ACCSWVBQ","Maggie's Bistro LLC",true,"2025-01-01T23:18:55.892Z","2025-01-24T23:05:24.086Z",{"fee":0;"title":null;"waiver":0;"enabled_fee":false;"enabled_waiver":false},{"fee":25;"type":"amount";"enabled_fee":true;"delivery_app_fee_in_cents":100},{"pickup":{"type":"amount";"enabled_fee":false;"enabled_waiver":false};"delivery":{"type":"amount";"enabled_fee":false;"enabled_waiver":false}},{"active":false} 
"8940b5de-6216-4273-b021-53270c34e657","ML42NHSD7SP42","Amity Brew Co Limited",false,"2025-01-14T11:46:50.371Z","2025-01-14T11:55:16.309Z",{"fee":0;"title":null;"waiver":0;"enabled_fee":false;"enabled_waiver":false},{"fee":25;"type":"amount";"enabled_fee":true},null,{"active":false} 
"b028f82c-af16-46eb-979f-7c03f027723e","P9HFM9C102CFE","Sophie's Cafe",true,"2025-01-29T22:34:58.511Z","2025-01-30T04:55:19.087Z",{"fee":0;"title":null;"waiver":0;"enabled_fee":false;"enabled_waiver":false},{"fee":25;"type":"amount";"enabled_fee":true},null,{"active":false} 
"69e1b28c-acdf-458b-a234-c2c411dfe78e","6NAVJ89ZFH1DX","Sunday Morning",true,"2025-01-30T14:04:11.914Z","2025-01-30T14:30:59.707Z",{"fee":0;"title":null;"waiver":0;"enabled_fee":false;"enabled_waiver":false},{"fee":25;"type":"amount";"enabled_fee":true},null,{"active":false} 
"598af3a5-dca3-45a6-88ee-093517d49327","67JAA5EY29J93","Frank & Joe's Coffee House",true,"2025-01-22T21:29:33.939Z","2025-01-27T14:32:13.243Z",{"fee":0;"title":null;"waiver":0;"enabled_fee":false;"enabled_waiver":false},{"fee":50;"type":"amount";"enabled_fee":true;"delivery_app_fee_in_cents":150},{"pickup":{"fee":50;"type":"amount";"enabled_fee":true;"enabled_waiver":false};"delivery":{"fee":150;"type":"amount";"enabled_fee":true;"enabled_waiver":false}},{"active":false} 
"e2e26b6e-fb4c-48a7-951c-e356a89ff046","2TY1W21SZTHKY","Branch Out",true,"2025-01-15T01:37:02.858Z","2025-01-31T17:21:47.787Z",{"fee":0;"title":null;"waiver":0;"enabled_fee":false;"enabled_waiver":false},{"fee":25;"type":"amount";"enabled_fee":true;"delivery_app_fee_in_cents":125},{"pickup":{"fee":25;"type":"amount";"enabled_fee":true;"enabled_waiver":false};"delivery":{"fee":125;"type":"amount";"enabled_fee":true;"enabled_waiver":false}},{"active":false} 
"2960c457-4bc3-4e45-add9-6a1e2c873a52","MLHHXDKF71XX2","Romeros On Main",true,"2025-01-20T20:01:56.219Z","2025-01-31T02:14:29.180Z",{"title":"Delivery fee";"enabled_fee":false;"enabled_waiver":false;"minimum_delivery_amount_in_cents":2000},{"fee":25;"type":"amount";"enabled_fee":true;"delivery_app_fee_in_cents":125},{"pickup":{"fee":25;"type":"amount";"waiver":2000;"enabled_fee":true;"enabled_waiver":true};"delivery":{"fee":125;"type":"amount";"waiver":3000;"enabled_fee":true;"enabled_waiver":true}},{"active":false} 
"96f138e5-35de-4074-9185-2c76a582420d","BM5SNH385MYNM","Digital Dealer (Marketing Agency)",true,"2025-01-16T06:48:44.735Z","2025-01-17T01:18:45.718Z",{"fee":0;"title":null;"waiver":0;"enabled_fee":false;"enabled_waiver":false},{"fee":25;"type":"amount";"enabled_fee":true},null,{"active":false} 
